ORIGINAL_TITLE,PLOT
"Tblisi, Georgia","Zamir Gotta upstages Bourdain on a tour of the mountainous Eurasian country, featuring food from Tbilisi, Batumi, and Khurvaleti."
Jackie Kennedy,"Jackie Kennedy's time in the White House was short - thirty-five tumultuous months that promised a new dawn for America but were marked by private betrayal and public tragedy. Using rarely seen personal letters, photographs and intimate audio recordings, the episode reveals how Jackie took control of JFK's legacy in the days following his assassination."
Green is the New Black,"What is life in prison really like for incarcerated Americans? Chris Cuomo is granted access to New York State's only maximum security prison for women, witnessing some of the most important moments of some of the inmates' lives."
Second-Hand Bargains For The Price Of The Nissan Pixo - Examine Toughness Of The Range Rover Evoque In Las Vegas,"Jeremy and Richard look at some amazing second hand bargains you can buy for the price of Britain's cheapest brand new car, the $9,900 Nissan Pixo. Meanwhile, James tests the toughness of the new Range Rover Evoque by driving it through Death Valley and then gauges its stylishness by using it to chauffeur a global megastar across Las Vegas."
Patagonia Special: Part 1,"Clarkson, Hammond and May embark on a journey to the southernmost point of South America."
Scotland,A retired detective informs Anthony of Glasgow's dark history over a plate of curry. He then travels to an abandoned shipyard for a knife defence lesson.
"Water, Giver of Life","This film begins with rain and follows the course of water as it brings life to people, plants and animals across Africa, before returning to the sea. Narrated by Mahershala Ali."
The Myth of MS-13,"13 years after first reporting on the world's most dangerous gang, Lisa Ling returns to the ultraviolent world of MS-13."
Transhood,"Filmed over five years in Kansas City, this documentary follows four kids - beginning at ages 4, 7, 12, and 15 - as they redefine ""coming of age."" These kids and their families reveal intimate realities of how gender is re-shaping the family next door in a never-before-told chronicling of growing up transgender in the heartland. The film is a nuanced examination of how families tussle, transform, and sometimes find unexpected purpose in their identities as transgender families. Lighthearted and deeply moving, this story teaches us something new about being human."
Hallowed Ground,"A married couple, trying to rebuild their relationship after an affair, travels to a secluded cabin and stumbles into a blood feud between the Native American owners of the property and the neighboring clan, who obsessively guard their land and punish those who trespass on it in terrifying ways."
The Latin Explosion: A New America,"Explores the impact of Latino music on United States culture. The documentary traces the roots of Hispanic contributions to American music starting from Pérez Prado, Xavier Cugat, the Afro-Cubans and Tito Puente. It places particular importance on the contributions of Desi Arnaz, Rita Moreno and José Feliciano. Over fifteen Hispanic musicians, apart from Feliciano and Moreno, including Marc Anthony, Pitbull, Gloria Estefan, Jennifer Lopez, Ricky Martin, Shakira and Romeo Santos are interviewed about their careers, impact and influences including the Fania All-Stars. Comedians and actors Cheech Marin, Eva Longoria also discuss their experiences and the impact of Hispanic Americans beyond music."
It Will be Chaos,"Part road-movie and part intimate portrait of lives in transit, IT WILL BE CHAOS unfolds between Italy and the Balkan corridor, intercutting two unforgettable refugees stories of human strength and resilience."
The Last Frontier,"W. Kamau Bell visits the Inuit people of Barrow, Alaska, 320 miles north of the Arctic Circle, where this town, only accessible by plane, is fighting to hold on to its traditions as large companies seek to acquire their natural resources."
"Thank You, Mr. President: Helen Thomas at the White House","Journalist Helen Thomas has covered nine presidents and her venerable career has earned her the moniker 'The First Lady of the Press.' Directed by award-winning filmmaker Rory Kennedy, this documentary profiles the iconic journalist who has held a front-row seat at White House press conferences for more than 60 years. In her 80s and as sharp as ever, Thomas sits down for a one-on-one interview in which she reflects on her career, the distinct personalities and foibles of the presidents she's covered, as well as some of the scandals that have rocked the White House over the years."
Torn Apart: Separated at the Border,Two mothers are separated from their children at the United States border for months after fleeing from danger in their homelands to seek asylum.
Bhutan: The Happiest Place on Earth,Bhutan tries to maintain its inner contentment and the title of ""The Happiest Place on Earth.""
Guardians of the Web,"In the final episode of the series, learn about ""white hat"" hackers, the U.S. Secret Service's cyber crime division working to protect us from the risks associated with persistent connectivity."
Stuck on You,Jungle Jack counts down animals having symbiotic relationships by relying on each other.
The Space Race,"In the midst of the Cold War, America falls behind in the manned exploration of space with the USSR. Then President Kennedy pledges that America will put a man on the moon by the end of the decade, capturing the fascination of the world.."
Salt Lake City 2002: Bud Greenspan's Stories of Olympic Glory,Award-winning sports chronicler Bud Greenspan delivers a powerful and emotional look at six individual stories in the official film of the 2002 Olympic Winter Games in Salt Lake City. Greenspan goes beyond highlight footage to tell the story of how these athletes overcome incredible obstacles to achieve Olympic glory.
The Joy of Stats,"Professor Hans Rosling shares his excitement with statistics, and shows how researchers are handling the modern data deluge."
Four Hours at the Capitol,"A chronicle of the incursion at the U.S. Capitol, when thousands of citizens from across the country gathered in Washington D.C., many with the intent of disrupting the certification of Joe Biden's presidency."
Part 4,"An FBI stakeout of the city's bridges leads investigators to Wayne Williams. As Williams' trial gets underway, victims' families, the press and the public descend on the courthouse to witness the trial."
Monterey Pop,A film about the greatest pre-Woodstock rock music festival.
Noodles,"At the artful hands of Seattle resident and Japanese chef Mutsuko Soma, we watch the creation of a culinary gift - hand crafted soba noodles. Narrated by Oscar Isaac."
Cuba,"Bourdain explores Cuba from its bustling capital city Havana, to the slower paced, music mecca Santiago."
A Body in the Bay,"In 2001, a dismembered corpse is found floating in Galveston Bay, Texas."
Part one,"A young girl's brutal murder quickly spirals into a baffling whodunnit when the prime suspect is found dead, leading police to arrest the grieving father."
The Secret Lives of Cheetahs,"Cheetahs are not your standard big cats, they differ from the others in many ways. First, cheetahs are daytime hunters with eyesight optimized for open landscape and distant prey."
Korea,"Following a long absence, Anthony travels to South Korea. In the ten years that have passed a lot has changed, the country experiencing a stratospheric rise. He tries kimchi, fried chicken, and vintage army stew."
Burma Special: Part 1,"In the first of two-part special, Jeremy Clarkson, Richard Hammond, and James May are on a mission to build a bridge over the River Kwai in Thailand. In order to do so, they must first drive across a country that has been largely closed to Westerners for over 40 years: Burma. What follows is an epic journey of beautiful scenery, regular adversity, ongoing malfunction, and constant bickering between the three hosts."
Einstein et le projet Manhattan,"A famous scientist wrote the President of the United States, and the face of war, and our world, was changed forever. How and why did humanity develop a weapon capable of almost total destruction?"
Six by Sondheim,An intimate and candid look at the life and art of the legendary composer-lyricist.
Live for the Moment,"After an embarrassing loss at home, the coach is questioned about his decision on starting QB. Also: the players look at the dangers of living in Long Beach and prepare for the game against Jordan High."
The Loving Story,"A racially-charged criminal trial and a heart-rending love story converge in this documentary about Richard and Mildred Loving, set during the turbulent Civil Rights era. Long Way Home: The Loving Story is a story of love and the struggle for dignity set against a backdrop of historic anti-miscegenation sentiments in the U.S. The Lovings, an interracial couple, fell in love and married at a critical time in American history, and, because of a confluence of social and political turmoil our reluctant heroes bring about change where previously no one else could. They are paired with two young and ambitious lawyers who are driven to pave the way for Civil Rights and social justice through an historic Supreme Court ruling, changing the country's story forever."
Les suffragettes à la conquête des urnes,"In late Victorian England, women began to organize to gain the right to vote. The fight for women's suffrage lasted well into the early 20th Century."
